subject,session,channel,condition,measure,value,nave
sub-001,ses-01,FCz,error,mean_amplitude,-8.523,24
sub-002,ses-01,FCz,error,mean_amplitude,-1.847,18
sub-003,ses-01,FCz,error,mean_amplitude,-9.766,33
sub-004,ses-01,FCz,error,mean_amplitude,-5.79,30
sub-005,ses-01,FCz,error,mean_amplitude,-0.866,20
sub-006,ses-01,FCz,error,mean_amplitude,-7.809,15
sub-007,ses-01,FCz,error,mean_amplitude,-7.416,36
sub-008,ses-01,FCz,error,mean_amplitude,-7.906,31
sub-001,ses-02,FCz,error,mean_amplitude,-6.857,31
sub-002,ses-02,FCz,error,mean_amplitude,-5.586,39
sub-003,ses-02,FCz,error,mean_amplitude,-2.317,16
sub-004,ses-02,FCz,error,mean_amplitude,-8.405,15
sub-005,ses-02,FCz,error,mean_amplitude,-9.241,36
sub-006,ses-02,FCz,error,mean_amplitude,-6.473,21
sub-007,ses-02,FCz,error,mean_amplitude,-9.215,33
sub-008,ses-02,FCz,error,mean_amplitude,-6.417,16
sub-001,ses-01,Cz,error,mean_amplitude,-7.792,32
sub-002,ses-01,Cz,error,mean_amplitude,-12.552,22
sub-003,ses-01,Cz,error,mean_amplitude,-5.278,28
sub-004,ses-01,Cz,error,mean_amplitude,-6.778,23
sub-005,ses-01,Cz,error,mean_amplitude,-3.298,37
sub-006,ses-01,Cz,error,mean_amplitude,-3.174,34
sub-007,ses-01,Cz,error,mean_amplitude,-1.596,28
sub-008,ses-01,Cz,error,mean_amplitude,-3.88,38
sub-001,ses-02,Cz,error,mean_amplitude,-3.543,36
sub-002,ses-02,Cz,error,mean_amplitude,-6.88,36
sub-003,ses-02,Cz,error,mean_amplitude,-1.744,28
sub-004,ses-02,Cz,error,mean_amplitude,-1.504,26
sub-005,ses-02,Cz,error,mean_amplitude,-7.971,39
sub-006,ses-02,Cz,error,mean_amplitude,-8.558,35
sub-007,ses-02,Cz,error,mean_amplitude,-5.052,26
sub-008,ses-02,Cz,error,mean_amplitude,-2.671,12
sub-001,ses-01,Pz,error,mean_amplitude,0.646,38
sub-002,ses-01,Pz,error,mean_amplitude,-2.349,27
sub-004,ses-01,Pz,error,mean_amplitude,-3.145,38
sub-005,ses-01,Pz,error,mean_amplitude,-9.029,27
sub-006,ses-01,Pz,error,mean_amplitude,-12.001,35
sub-007,ses-01,Pz,error,mean_amplitude,-11.287,17
sub-008,ses-01,Pz,error,mean_amplitude,-6.428,38
sub-001,ses-02,Pz,error,mean_amplitude,-1.35,36
sub-002,ses-02,Pz,error,mean_amplitude,-8.407,13
sub-004,ses-02,Pz,error,mean_amplitude,-0.313,29
sub-005,ses-02,Pz,error,mean_amplitude,-7.37,19
sub-006,ses-02,Pz,error,mean_amplitude,-4.313,35
sub-007,ses-02,Pz,error,mean_amplitude,-8.661,39
sub-008,ses-02,Pz,error,mean_amplitude,-7.381,13
sub-001,ses-01,FCz,correct,mean_amplitude,-3.173,31
sub-002,ses-01,FCz,correct,mean_amplitude,-1.208,35
sub-003,ses-01,FCz,correct,mean_amplitude,3.39,24
sub-004,ses-01,FCz,correct,mean_amplitude,-0.437,30
sub-005,ses-01,FCz,correct,mean_amplitude,2.066,14
sub-006,ses-01,FCz,correct,mean_amplitude,-2.776,35
sub-007,ses-01,FCz,correct,mean_amplitude,-1.337,28
sub-008,ses-01,FCz,correct,mean_amplitude,-3.775,33
sub-001,ses-02,FCz,correct,mean_amplitude,1.26,39
sub-002,ses-02,FCz,correct,mean_amplitude,-1.338,13
sub-003,ses-02,FCz,correct,mean_amplitude,-1.192,21
sub-004,ses-02,FCz,correct,mean_amplitude,-0.3,29
